,rating_num_weights,rating_average_weight,playing_time,min_age,min_players,max_players,mechanics,categories,families
Star Wars: Outer Rim,334,2.5539,180,14,1,4,"['Dice Rolling', 'Die Icon Resolution', 'Modular Board', 'Pick-up and Deliver', 'Race', 'Solo / Solitaire Game', 'Trading', 'Variable Player Powers']","['Adventure', 'Exploration', 'Movies / TV / Radio theme', 'Science Fiction', 'Space Exploration']","['Components: Dice with Icons', 'Components: Standees', 'Mechanism: Artificial Player', 'Movies: Star Wars', 'Players: Games with Solitaire Rules']"
ISS Vanguard,236,3.661,120,13,1,4,"['Cooperative Game', 'Dice Rolling', 'Open Drafting', 'Scenario / Mission / Campaign Game', 'Storytelling', 'Variable Player Powers']","['Adventure', 'Exploration', 'Miniatures', 'Science Fiction', 'Space Exploration']","['Admin: Better Description Needed!', 'Components: Binders', 'Components: Book as Board', 'Components: Control Boards', 'Components: Dice with Icons', 'Components: Miniatures', 'Components: Polyhedral (not D6) dice', 'Components: Standees', 'Creatures: Aliens / Extraterrestrials', 'Crowdfunding: Gamefound', 'Mechanism: Campaign Games', 'Mechanism: Dice Drafting', 'Misc: Eastar Game Manufacturing']"
Captain Sonar,369,2.1924,60,14,2,8,"['Grid Movement', 'Hidden Movement', 'Line Drawing', 'Real-Time', 'Role Playing', 'Secret Unit Deployment', 'Simulation', 'Team-Based Game']","['Deduction', 'Fighting', 'Modern Warfare', 'Nautical', 'Real-time']","['Components: Dry Erase Markers / Dry Erase Surfaces', 'Game: Captain Sonar', 'Mechanism: Hidden Movement', 'Theme: Submarines']"
Paleo,395,2.6304,60,10,1,4,"['Action/Event', 'Cooperative Game', 'Memory', 'Scenario / Mission / Campaign Game', 'Simultaneous Action Selection', 'Variable Set-up']","['Card Game', 'Exploration', 'Prehistoric']","['Animals: Mammoths', 'Animals: Wolves', 'Category: Dized Tutorial', 'Digital Implementations: Tabletopia', 'Mechanism: Campaign Games', 'Theme: Art', 'Theme: Survival']"
Dead of Winter: A Crossroads Game,1677,3.0107,120,13,2,5,"['Action Points', 'Area Movement', 'Dice Rolling', 'Hand Management', 'Narrative Choice / Paragraph', 'Push Your Luck', 'Scenario / Mission / Campaign Game', 'Semi-Cooperative Game', 'Storytelling', 'Trading', 'Traitor Game', 'Turn Order: Progressive', 'Variable Player Powers', 'Voting']","['Bluffing', 'Deduction', 'Horror', 'Zombies']","['Components: Dynamic Event Boards', 'Components: Standees', 'Creatures: Zombies', 'Digital Implementations: VASSAL', 'Misc: Made by Panda', 'Misc: Watch It Played How To Videos', 'Series: Crossroads (Plaid Hat Games)', 'Setting: Dead of Winter', 'Theme: Post-Apocalyptic']"
Near and Far,203,2.8916,120,13,2,4,"['Dice Rolling', 'Multiple Maps', 'Narrative Choice / Paragraph', 'Network and Route Building', 'Open Drafting', 'Scenario / Mission / Campaign Game', 'Set Collection', 'Storytelling', 'Variable Player Powers', 'Worker Placement']","['Adventure', 'Exploration', 'Fantasy', 'Fighting']","['Components: Book as Board', 'Components: Map (Regional scale)', 'Crowdfunding: Kickstarter', 'Digital Implementations: Tabletopia', 'Mechanism: Campaign Games', 'Misc: Forteller Audio Narration', 'Misc: Made by Panda', 'Setting: World of Arzium']"
Legendary: A Marvel Deck Building Game,858,2.4347,60,14,1,5,"['Deck, Bag, and Pool Building', 'Events', 'Open Drafting', 'Semi-Cooperative Game', 'Solo / Solitaire Game', 'Variable Set-up']","['Card Game', 'Comic Book / Strip']","['Comic Books: Marvel Universe', 'Game: Legendary (Upper Deck Entertainment)', 'Misc: Watch It Played How To Videos', 'Players: Games with Solitaire Rules', 'Theme: Superheroes']"
Zombicide: Black Plague,376,2.4814,180,14,1,6,"['Cooperative Game', 'Dice Rolling', 'Modular Board', 'Scenario / Mission / Campaign Game', 'Turn Order: Progressive', 'Variable Player Powers']","['Adventure', 'Fantasy', 'Fighting', 'Horror', 'Medieval', 'Miniatures', 'Zombies']","['Category: Dungeon Crawler', 'Components: Miniatures', 'Creatures: Zombies', 'Crowdfunding: Kickstarter', 'Game: Zombicide', 'Misc: Watch It Played How To Videos', 'Players: Games with Solitaire Rules', 'Theme: Post-Apocalyptic']"
Return to Dark Tower,104,2.6442,120,10,1,4,"['Area Movement', 'Cooperative Game', 'Events', 'Push Your Luck', 'Random Production', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Sudden Death Ending', 'Trading', 'Variable Player Powers', 'Variable Set-up']","['Adventure', 'Electronic', 'Fantasy', 'Fighting']","['Components: Digital Hybrid – App/Website Required', 'Components: Drop Tower', 'Components: Miniatures', 'Crowdfunding: Kickstarter', 'Mechanism: Campaign Games']"
Detective: A Modern Crime Board Game,222,2.7432,180,16,1,5,"['Cooperative Game', 'Narrative Choice / Paragraph', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Storytelling', 'Variable Player Powers']","['Deduction', 'Murder/Mystery']","['Components: Digital Hybrid – App/Website Required', 'Digital Implementations: Tabletopia', 'Game: Detective – A Modern Crime Board Game (Portal Games)', 'Mechanism: Campaign Games', 'Misc: Limited Replayability', 'Misc: LongPack Games', 'Players: Games with Solitaire Rules', 'Theme: Mystery / Crime']"
Galaxy Trucker,1569,2.3301,60,10,2,4,"['Dice Rolling', 'Events', 'Real-Time', 'Relative Movement', 'Team-Based Game', 'Tile Placement', 'Track Movement']","['Real-time', 'Science Fiction', 'Space Exploration', 'Transportation']","['Components: Gems/Crystals', 'Components: Sand Timers', 'Creatures: Aliens / Extraterrestrials', 'Digital Implementations: Google Play', 'Game: Galaxy trucker']"
Western Legends,285,2.8456,90,14,2,6,"['Action Points', 'Area Movement', 'Betting and Bluffing', 'Card Play Conflict Resolution', 'Dice Rolling', 'End Game Bonuses', 'Hand Management', 'Pick-up and Deliver', 'Take That', 'Variable Player Powers']","['Adventure', 'American West', 'Miniatures']","['Components: Miniatures', 'Crowdfunding: Kickstarter', 'Game: Western Legends']"
Chronicles of Crime,361,2.0665,90,12,1,4,"['Cooperative Game', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Storytelling']","['Adventure', 'Deduction', 'Murder/Mystery']","['Components: Digital Hybrid – App/Website Required', 'Components: Official Music Soundtrack', 'Crowdfunding: Kickstarter', 'Crowdfunding: Spieleschmiede', 'Game: Chronicles of Crime', 'Mechanism: Campaign Games', 'Misc: Limited Replayability', 'Players: Games with Solitaire Rules', 'Theme: Mystery / Crime']"
T.I.M.E Stories,590,2.5864,90,12,2,4,"['Cooperative Game', 'Dice Rolling', 'Move Through Deck', 'Narrative Choice / Paragraph', 'Storytelling', 'Variable Player Powers']","['Adventure', 'Puzzle', 'Science Fiction']","['Game: T.I.M.E Stories – White Cycle', 'Game: T.I.M.E Stories / TIME Stories', 'Misc: Limited Replayability', 'Theme: Time Travel']"
Forgotten Waters,117,2.1111,240,14,3,7,"['Dice Rolling', 'Events', 'Narrative Choice / Paragraph', 'Scenario / Mission / Campaign Game', 'Semi-Cooperative Game', 'Stat Check Resolution', 'Storytelling', 'Worker Placement']","['Adventure', 'Exploration', 'Fantasy', 'Nautical', 'Pirates', 'Travel']","['Components: Book as Board', 'Components: Digital Hybrid – App/Website Required', 'Components: Standees', 'Mechanism: Campaign Games', 'Series: Crossroads (Plaid Hat Games)', 'Theme: Pirates']"
Arcadia Quest,350,2.5343,60,13,2,4,"['Action Retrieval', 'Dice Rolling', 'Grid Movement', 'Line of Sight', 'Modular Board', 'Scenario / Mission / Campaign Game', 'Square Grid', 'Take That', 'Variable Player Powers']","['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']","['Category: Dungeon Crawler', 'Components: Miniatures', 'Crowdfunding: Kickstarter', 'Game: Arcadia Quest', 'Mechanism: Campaign Games', 'Misc: Watch It Played How To Videos', 'Theme: Anime / Manga', 'Theme: Chibis']"
John Company: Second Edition,332,4.4428,240,13,1,6,"['Bribery', 'Dice Rolling', 'Negotiation', 'Push Your Luck', 'Simulation', 'Voting']","['Economic', 'Educational', 'Negotiation', 'Political']","['Country: India', 'Crowdfunding: Kickstarter', 'Digital Implementations: TableTop Simulator Mod (TTS)', 'History: Anglo-Indian Wars', 'Theme: Business/Management', 'Theme: Colonial']"
Oath: Chronicles of Empire & Exile,576,4.1128,150,10,1,6,"['Action Points', 'Area Majority / Influence', 'Area Movement', 'Dice Rolling', 'Hand Management', 'Modular Board', 'Negotiation', 'Scenario / Mission / Campaign Game', 'Storytelling', 'Variable Set-up']","['Economic', 'Fantasy', 'Negotiation', 'Political', 'Territory Building', 'Wargame']","['Admin: Better Description Needed!', 'Crowdfunding: Kickstarter', 'Digital Implementations: TableTop Simulator Mod (TTS)', 'Mechanism: Campaign Games', 'Mechanism: Tableau Building', 'Players: Games with Solitaire Rules']"
Cthulhu Wars,284,3.1479,120,14,2,4,"['Action Points', 'Area Majority / Influence', 'Area Movement', 'Dice Rolling', 'Variable Player Powers']","['Fantasy', 'Fighting', 'Horror', 'Miniatures']","['Crowdfunding: Kickstarter', 'Digital Implementations: VASSAL', 'Game: Cthulhu Wars', 'Mechanism: Tableau Building', 'Region: The World', 'Theme: Cthulhu Mythos', 'Theme: Villainy']"
Dungeon Petz,715,3.621,90,13,2,4,"['Auction/Bidding', 'Hand Management', 'Selection Order Bid', 'Simultaneous Action Selection', 'Worker Placement']","['Animals', 'Fantasy', 'Humor']","['Creatures: Monsters', 'Digital Implementations: Board Game Arena', 'Digital Implementations: Boiteajeux', 'Digital Implementations: Tabletopia', 'Game: Dungeon Lords', 'Theme: Excrements / Feces / Poop / Urine', 'Theme: Villainy']"
Space Alert,813,2.9692,30,12,1,5,"['Action Queue', 'Area Movement', 'Cooperative Game', 'Elapsed Real Time Ending', 'Hand Management', 'Real-Time', 'Simultaneous Action Selection', 'Solo / Solitaire Game']","['Electronic', 'Real-time', 'Science Fiction', 'Space Exploration']","['Components: Compact Discs (CDs)', 'Components: Miniatures', 'Mechanism: Artificial Player', 'Players: Games with Solitaire Rules']"
The King's Dilemma,158,2.2468,60,14,3,5,"['Bias', 'Bribery', 'End Game Bonuses', 'Legacy Game', 'Storytelling', 'Voting']","['Fantasy', 'Negotiation', 'Political']","['Digital Implementations: Steam', 'Digital Implementations: Tabletopia', 'Mechanism: Legacy', 'Misc: Limited Replayability']"
Arkham Horror (Third Edition),309,3.3528,180,14,1,6,"['Cooperative Game', 'Dice Rolling', 'Modular Board', 'Point to Point Movement', 'Stat Check Resolution', 'Variable Player Powers']","['Adventure', 'Fighting', 'Horror', 'Novel-based']","['Components: Standees', 'Game: Arkham Horror', 'Game: Arkham Horror (Third Edition)', 'Players: Games with Solitaire Rules', 'Series: Arkham Horror Files (Fantasy Flight Games)', 'Theme: Cthulhu Mythos']"
Nemo's War (Second Edition),251,3.2749,120,13,1,4,"['Action Points', 'Area Majority / Influence', 'Area Movement', 'Cooperative Game', 'Dice Rolling', 'Push Your Luck', 'Simulation', 'Solo / Solitaire Game', 'Stat Check Resolution']","['Adventure', 'Exploration', 'Nautical', 'Novel-based', 'Science Fiction', 'Travel', 'Wargame']","['Authors: Jules Verne', 'Books: 20,000 Leagues Under the Sea', 'Components: Gems/Crystals', 'Crowdfunding: Kickstarter', 'Digital Implementations: Tabletopia', ""Game: Nemo's War"", 'Misc: LongPack Games', 'Players: Games with Solitaire Rules', 'Players: Wargames with Solitaire Rules', 'Theme: Submarines']"
Fury of Dracula (Third/Fourth Edition),361,3.2798,180,14,2,5,"['Card Play Conflict Resolution', 'Hand Management', 'Hidden Movement', 'Point to Point Movement', 'Resource to Move', 'Rock-Paper-Scissors', 'Secret Unit Deployment', 'Team-Based Game', 'Variable Player Powers']","['Adventure', 'Deduction', 'Fighting', 'Horror', 'Novel-based']","['Books: Dracula', 'Components: Map (Continental / National scale)', 'Components: Miniatures', 'Continents: Europe', 'Creatures: Vampires', 'Digital Implementations: Steam', 'Game: Fury of Dracula', 'Mechanism: Hidden Movement', 'Players: One versus Many']"
Destinies,238,1.9118,150,14,1,3,"['Dice Rolling', 'Map Addition', 'Role Playing', 'Solo / Solitaire Game', 'Storytelling', 'Tile Placement']","['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Medieval', 'Miniatures']","['Components: Digital Hybrid – App/Website Required', 'Components: Miniatures', 'Crowdfunding: Kickstarter', 'Crowdfunding: Spieleschmiede', 'Game: Destinies', 'Misc: Limited Replayability', 'Misc: LongPack Games', 'Players: Games with Solitaire Rules']"
Runewars,648,3.7855,240,14,2,4,"['Area Majority / Influence', 'Auction/Bidding', 'Grid Movement', 'Hexagon Grid', 'Modular Board', 'Simultaneous Action Selection', 'Variable Player Powers']","['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures', 'Wargame']","['Components: Miniatures', 'Mechanism: 4X', 'Series: Fantasy Flight Big Box', 'Setting: The Realms of Terrinoth']"
Exit: The Game – The Abandoned Cabin,174,2.5517,120,12,1,6,['Cooperative Game'],"['Deduction', 'Puzzle', 'Real-time']","['Category: Escape Room Games', 'Misc: Limited Replayability', 'Players: Games with Solitaire Rules', 'Series: Exit: The Game']"
Burgle Bros.,304,2.3026,90,12,1,4,"['Action Points', 'Cooperative Game', 'Dice Rolling', 'Grid Movement', 'Map Addition', 'Modular Board', 'Multiple Maps', 'Solo / Solitaire Game', 'Square Grid', 'Three Dimensional Movement', 'Variable Player Powers']","['Exploration', 'Maze', 'Spies/Secret Agents']","['Components: Game Box Used In Play', 'Crowdfunding: Kickstarter', 'Crowdfunding: Spieleschmiede', 'Crowdfunding: Verkami', 'Digital Implementations: Board Game Arena', 'Digital Implementations: Steam', 'Digital Implementations: Tabletopia', 'Digital Implementations: VASSAL', 'Players: Games with Solitaire Rules', 'Theme: Burglary and Heists', 'Theme: Infiltration', 'Theme: Mystery / Crime', 'Theme: Retro']"
Above and Below,430,2.5233,90,13,2,4,"['Action Points', 'Dice Rolling', 'Narrative Choice / Paragraph', 'Set Collection', 'Storytelling', 'Trading', 'Turn Order: Progressive']","['Adventure', 'City Building', 'Economic', 'Exploration', 'Fantasy', 'Farming', 'Negotiation']","['Crowdfunding: Kickstarter', 'Game: Above and Below', 'Mechanism: Tableau Building', 'Misc: Forteller Audio Narration', 'Setting: World of Arzium']"
Dead of Winter: The Long Night,194,3.3454,120,14,2,5,"['Action Points', 'Area Movement', 'Cooperative Game', 'Dice Rolling', 'Hand Management', 'Push Your Luck', 'Semi-Cooperative Game', 'Storytelling', 'Traitor Game', 'Variable Player Powers', 'Voting']","['Bluffing', 'Deduction', 'Horror', 'Mature / Adult', 'Science Fiction', 'Zombies']","['Components: Dynamic Event Boards', 'Components: Standees', 'Creatures: Zombies', 'Series: Crossroads (Plaid Hat Games)', 'Setting: Dead of Winter', 'Theme: Post-Apocalyptic']"
Merchants & Marauders,856,3.2453,180,13,2,4,"['Action Points', 'Area Movement', 'Bias', 'Dice Rolling', 'Events', 'Pick-up and Deliver', 'Race', 'Variable Player Powers', 'Variable Set-up']","['Adventure', 'Fighting', 'Nautical', 'Pike and Shot', 'Pirates', 'Transportation']","['Components: Map (Continental / National scale)', 'History: Age of Discovery', 'Occupation: Merchant', 'Region: Caribbean Sea', 'Theme: Colonial', 'Theme: Pirates', 'Theme: Tropical']"
Letters from Whitechapel,654,2.6468,90,14,2,6,"['Hidden Movement', 'Memory', 'Point to Point Movement', 'Secret Unit Deployment', 'Team-Based Game']","['Bluffing', 'Deduction', 'Murder/Mystery', 'Post-Napoleonic']","['Cities: London (England, UK)', 'Components: Map (City Scale)', 'Country: United Kingdom', 'Historical Figures: Jack the Ripper', 'Mechanism: Hidden Movement', 'Players: One versus Many']"
BattleLore: Second Edition,308,2.7143,90,14,2,2,"['Campaign / Battle Card Driven', 'Command Cards', 'Dice Rolling', 'Grid Movement', 'Modular Board', 'Secret Unit Deployment', 'Variable Player Powers']","['Fantasy', 'Miniatures', 'Wargame']","['Components: Miniatures', 'Creatures: Monsters', 'Digital Implementations: Steam', 'Digital Implementations: VASSAL', 'Game: BattleLore', 'Game: BattleLore (Second Edition)', 'Players: Two-Player Only Games', 'Series: Commands & Colors', 'Setting: The Realms of Terrinoth']"
Harry Potter: Hogwarts Battle,416,2.0745,60,11,2,4,"['Cooperative Game', 'Deck, Bag, and Pool Building', 'Scenario / Mission / Campaign Game', 'Variable Player Powers']","['Card Game', 'Fantasy', 'Movies / TV / Radio theme', 'Novel-based']","['Books: Harry Potter', 'Game: Harry Potter: Hogwarts Battle (The OP)', 'Mechanism: Campaign Games']"
Mysterium,936,1.9017,42,10,2,7,"['Communication Limits', 'Cooperative Game', 'Deduction', 'Finale Ending', 'Hand Management', 'Pattern Recognition', 'Storytelling', 'Variable Player Powers', 'Voting']","['Deduction', 'Horror', 'Murder/Mystery', 'Party Game']","['Components: Official Music Soundtrack', 'Components: Sand Timers', 'Creatures: Ghosts', 'Digital Implementations: Steam', 'Game: Mysterium', 'Holidays: Halloween', 'Mechanism: Give a Clue / Get a Clue', 'Mechanism: Image Interpretation', 'Theme: Spooky Old Houses']"
The Witcher: Old World,296,2.8514,150,14,1,5,"['Card Play Conflict Resolution', 'Deck, Bag, and Pool Building', 'Dice Rolling', 'Events', 'Hand Management', 'Increase Value of Unchosen Resources', 'Narrative Choice / Paragraph', 'Open Drafting', 'Pick-up and Deliver', 'Point to Point Movement', 'Race', 'Role Playing', 'Solo / Solitaire Game', 'Variable Player Powers', 'Variable Set-up']","['Adventure', 'Fantasy', 'Fighting', 'Miniatures', 'Novel-based', 'Travel', 'Video Game Theme']","['Books: The Witcher', 'Components: Miniatures', 'Components: Multi-Use Cards', 'Creatures: Monsters', 'Crowdfunding: Catarse', 'Crowdfunding: Kickstarter', 'Crowdfunding: zagramw.to', 'Misc: LongPack Games', 'Players: Games with Solitaire Rules']"
